N	Axis1	Axis2	Axis3	Axis4	Axis5	color	text
2669	-0.211799802	-0.080604836	0.051078602	0.007879791	0.032614016	"#0d34f6"	cult
2648	-0.210986084	-0.083464588	0.048671539	0.010528092	0.033937777	"#0d34f6"	cult
2829	-0.208064669	-0.085080396	0.048228555	0.011591612	0.03506865	"#0d34f6"	cult
2844	-0.20919979	-0.08181045	0.049992541	0.009927808	0.034471161	"#0d34f6"	cult
2752	-0.212142609	-0.080685529	0.051091595	0.008145123	0.032952964	"#0d34f6"	cult
2750	-0.211435196	-0.082629087	0.050389977	0.011336977	0.034430988	"#0d34f6"	cult
2759	-0.210199457	-0.082464243	0.050379048	0.011067014	0.032615871	"#0d34f6"	cult
2781	-0.209488875	-0.084186617	0.04930143	0.011677114	0.034456385	"#0d34f6"	cult
2797	-0.209180929	-0.083122886	0.049407454	0.009590472	0.035155051	"#0d34f6"	cult
2683	-0.211508577	-0.082878587	0.04976537	0.010545828	0.03443564	"#0d34f6"	cult
2723	-0.213469468	-0.082530129	0.05079951	0.012011015	0.034363242	"#0d34f6"	cult
2682	-0.212213498	-0.082932781	0.050355707	0.011914975	0.033559991	"#0d34f6"	cult
2747	-0.210415717	-0.084707526	0.050319188	0.009891787	0.03519469	"#0d34f6"	cult
2810	-0.210776387	-0.080237016	0.050310781	0.009110592	0.031581062	"#0d34f6"	cult
2657	-0.210176686	-0.08059936	0.05004121	0.009222761	0.032478549	"#0d34f6"	cult
2838	-0.207089361	-0.084370905	0.049564093	0.01081737	0.033910353	"#0d34f6"	cult
2754	-0.208288758	-0.082667743	0.049039456	0.012933496	0.03369151	"#0d34f6"	cult
2679	-0.209660103	-0.082203986	0.048366189	0.011352858	0.032283017	"#0d34f6"	cult
2818	-0.209439721	-0.082308531	0.04889174	0.010780675	0.033057822	"#0d34f6"	cult
2641	-0.210306801	-0.079125805	0.050467745	0.008985996	0.032130225	"#0d34f6"	cult
2634	-0.20926871	-0.082275105	0.049485529	0.011528631	0.032318668	"#0d34f6"	cult
2837	-0.208148538	-0.083505919	0.048321435	0.012601654	0.033269235	"#0d34f6"	cult
2685	-0.210468141	-0.082733181	0.049094323	0.011055791	0.032964444	"#0d34f6"	cult
2705	-0.210484401	-0.083197714	0.048784617	0.010795546	0.032249115	"#0d34f6"	cult
2769	-0.211726125	-0.083625621	0.050712984	0.012361295	0.033558113	"#0d34f6"	cult
2784	-0.21099523	-0.08560834	0.050312318	0.012877151	0.034894777	"#0d34f6"	cult
2787	-0.210718415	-0.083544382	0.049198709	0.012127407	0.033790614	"#0d34f6"	cult
450	-0.179310797	-0.070063564	0.044813747	-0.005600289	0.032883689	"#0d34f6"	cult
199	-0.175158511	-0.080723167	0.046262971	8.48E-05	0.040525361	"#0d34f6"	cult
219	-0.178983906	-0.07000098	0.041369	0.023233416	0.025685417	"#0d34f6"	cult
234	-0.162008585	-0.066969561	0.033916872	0.017468449	0.020984935	"#0d34f6"	cult
2790	-0.164400239	-0.065107597	0.036288419	0.015085812	0.021853226	"#0d34f6"	cult
97	-0.173811468	-0.070026084	0.040051742	0.02053288	0.027024911	"#0d34f6"	cult
235	-0.177421592	-0.070494971	0.042376236	0.014334759	0.024596247	"#0d34f6"	cult
