k21	k22	k31	k32	k33	k41	k42	k43	k44	k51	k52	k53	k54	k55	k61	k62	k63	k64	k65	k66	k71	k72	k73	k74	k75	k76	k77	k81	k82	k83	k84	k85	k86	k87	k88	k91	k92	k93	k94	k95	k96	k97	k98	k99
0.9999	0.0001	0.00632366	0.993576	1.00E-04	0.0918273	0.0129875	0.895085	1.00E-04	0.0885273	0.0242391	1.00E-04	0.0822281	0.804906	0.0840102	0.00924714	0.0204004	0.801924	0.0843184	1.00E-04	0.0234448	0.00189465	0.004253	0.0281535	0.00562825	0.0222379	0.914388	0.0136587	0.00576114	0.0300115	0.915842	1.00E-04	0.0111102	0.023417	1.00E-04	0.0321366	0.014784	0.0116128	0.00313722	0.904157	0.00142975	0.0218449	0.00099007	0.00990726
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.0925577	0.00432856	0.903014	1.00E-04	0.0816753	0.0164892	1.00E-04	0.0836458	0.81809	0.0802732	0.00990925	0.0108467	0.819581	0.0792897	1.00E-04	0.0158126	0.00253936	0.0030507	0.032819	0.00219009	0.0140071	0.929581	0.00180487	0.00601563	0.0257542	0.934504	1.00E-04	0.00747162	0.0166262	0.00772359	0.0271853	0.0111556	0.00743308	0.00228712	0.92503	0.00255518	0.0176523	1.00E-04	0.00660195
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.105961	0.00306611	0.890873	1.00E-04	0.0802074	0.0173639	1.00E-04	0.0951984	0.80713	0.0785397	0.00851109	0.0175013	0.802886	0.092462	1.00E-04	0.0127694	0.00633961	0.0074102	0.0222579	0.0123578	0.0165628	0.922302	0.00377621	0.00757551	0.023892	0.926079	0.00269662	0.0171257	0.0187552	1.00E-04	0.0236128	0.010601	0.0130202	0.00581772	0.915778	1.00E-04	0.019282	0.00925582	0.00253299
0.9999	0.0001	0.00239837	0.997502	1.00E-04	0.121801	0.00660567	0.871493	1.00E-04	0.0834111	0.0178775	1.00E-04	0.115546	0.783065	0.0815685	0.00845459	0.0139604	0.78094	0.114976	1.00E-04	0.0207338	0.00448473	1.00E-04	0.0266459	0.0372706	0.0151036	0.895661	0.00999562	0.00863919	0.0284016	0.8978	0.0316919	0.00557223	0.0177991	1.00E-04	0.0359498	0.00854522	1.00E-04	0.00617578	0.893286	0.00106174	0.0179467	0.0322805	0.00465416
0.999425	0.00057539	0.0113845	0.988516	1.00E-04	0.108815	0.0187912	0.872294	1.00E-04	0.080409	0.0273642	1.00E-04	0.104273	0.787854	0.0787418	0.0122821	0.0233991	0.78508	0.100397	1.00E-04	0.017597	0.00663879	0.00291798	0.0191736	0.0209245	0.0244464	0.908302	0.00169861	0.0103478	0.031333	0.908732	0.0142239	0.0068375	0.0267276	1.00E-04	0.0294023	0.00754224	0.00487386	0.00953401	0.900338	1.00E-04	0.0283626	0.0153756	0.00447101
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.113567	1.00E-04	0.886233	1.00E-04	0.0818944	0.00225822	1.00E-04	0.108943	0.806805	0.0773922	0.00504973	0.00244431	0.808954	0.106059	1.00E-04	0.0116964	0.00101634	1.00E-04	0.0255099	0.0315101	0.00409954	0.926068	0.00937986	0.0053415	0.0257208	0.921177	0.0238907	0.00634243	0.00804781	1.00E-04	0.0334161	0.00132802	0.00534552	0.00480569	0.912699	1.00E-04	0.00546143	0.0270465	0.00979799
0.9999	0.0001	0.00355364	0.996346	1.00E-04	0.108405	0.00919459	0.8823	1.00E-04	0.0857355	0.0192044	1.00E-04	0.101701	0.793259	0.079945	0.00839283	0.0160416	0.792555	0.102966	1.00E-04	0.0229804	0.00448352	1.00E-04	0.0284801	0.0206362	0.0176053	0.905715	0.0154112	0.00676329	0.0288573	0.903661	0.017253	1.00E-04	0.0212337	0.00672072	0.0327433	0.0118984	1.00E-04	0.00534088	0.892458	0.00432937	0.0200283	0.0207967	0.0123054
0.9999	0.0001	0.000643049	0.999257	1.00E-04	0.109577	0.0104157	0.879907	1.00E-04	0.0864675	0.0183704	1.00E-04	0.103064	0.791998	0.08816	0.00841639	0.015715	0.790217	0.0973913	1.00E-04	0.0211733	0.00585559	1.00E-04	0.0257532	0.0206083	0.0153151	0.911194	0.00680645	0.00579235	0.0354467	0.914002	0.0139039	0.00324025	0.0201905	0.000617422	0.0336024	0.0109632	0.00561315	0.00609056	0.903063	1.00E-04	0.0193701	0.0157161	0.00548106
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.105973	1.00E-04	0.893827	1.00E-04	0.0864147	0.0120756	1.00E-04	0.10185	0.79956	0.0838835	0.00501966	0.0131624	0.797489	0.100345	1.00E-04	0.01674	1.00E-04	1.00E-04	0.018791	0.0206394	0.0145407	0.929089	0.0179833	0.000308388	0.0270023	0.920124	0.0179984	1.00E-04	0.0163835	1.00E-04	0.0292685	0.00863709	1.00E-04	0.00086617	0.910504	1.00E-04	0.0163973	0.0156092	0.0185178
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.108716	1.00E-04	0.891084	1.00E-04	0.0869443	0.00233907	1.00E-04	0.10101	0.809606	0.0824883	0.00611275	0.00264776	0.808642	0.100009	1.00E-04	0.0224895	0.000397896	1.00E-04	0.017907	0.0213283	0.00305999	0.934717	1.00E-04	0.00488859	0.0340915	0.937291	0.0146701	0.0013626	0.00749597	1.00E-04	0.0379931	0.00707222	1.00E-04	0.00268455	0.926431	1.00E-04	0.00837032	0.0171487	1.00E-04
